OD600,Time,Strain
1.1099,8,pUC19
1.1027,8,pUC19
1.0779,8,pUC19
1.09511,8,pUC19-czcD
1.12294,8,pUC19-czcD
1.06236,8,pUC19-czcD
1.21453,12,pUC19
1.23393,12,pUC19
1.27018,12,pUC19
1.21311,12,pUC19-czcD
1.20898,12,pUC19-czcD
1.26731,12,pUC19-czcD
1.28203,16,pUC19
1.27613,16,pUC19
1.25497,16,pUC19
1.24273,16,pUC19-czcD
1.2543,16,pUC19-czcD
1.29056,16,pUC19-czcD
1.27508,20,pUC19
1.27019,20,pUC19
1.30666,20,pUC19
1.30779,20,pUC19-czcD
1.26573,20,pUC19-czcD
1.34238,20,pUC19-czcD
1.32438,24,pUC19
1.35359,24,pUC19
1.35224,24,pUC19
1.30796,24,pUC19-czcD
1.31606,24,pUC19-czcD
1.38927,24,pUC19-czcD
