OD600,Time,Strain
0.03557,8,pUC19
0.03083,8,pUC19
0.03077,8,pUC19
0.02743,8,pUC19-czcD
0.04352,8,pUC19-czcD
0.03284,8,pUC19-czcD
0.03481,12,pUC19
0.03663,12,pUC19
0.05225,12,pUC19
0.46831,12,pUC19-czcD
0.06993,12,pUC19-czcD
0.07761,12,pUC19-czcD
0.09598,16,pUC19
0.0963,16,pUC19
0.13961,16,pUC19
0.53807,16,pUC19-czcD
0.72933,16,pUC19-czcD
0.56767,16,pUC19-czcD
0.29411,20,pUC19
0.16192,20,pUC19
0.25908,20,pUC19
1.06513,20,pUC19-czcD
1.08898,20,pUC19-czcD
1.07329,20,pUC19-czcD
0.74431,24,pUC19
0.80098,24,pUC19
0.79649,24,pUC19
1.17862,24,pUC19-czcD
1.20674,24,pUC19-czcD
1.16129,24,pUC19-czcD
