,A5S03,A5S04,A502N,A502S,A505S,A506N,A506S,A509N,A509S,KW01,KW1S05,KW1S08,KW1S11,KW1S15,KW1S21,KW12,KW23,KW34,KW45,KW56,KW67,KW78,KW89,KW101N,KW101S,KW910,PRZ12,PRZ23,PRZ34,PRZ45,PRZ56,PRZ67,PRZ78,PRZ89,PRZ910,PRZ1015,PRZ1520,WS01,WS12,WS23,WS34,WS45,WS56,WS67,WS78,WS89,WS910,WS1015,WS1520
A502N_k141_648587_dvf_14999,0,0,976.9458,0,0,0,0,0,0,0.16784683,0,0,0,0,0,0,0.24466911,0.12762757,571.29895,497.58313,846.4004,451.62003,89.62088,0.087635376,0,807.0766,92.064995,203.19614,292.67758,503.6043,374.73672,1396.214,1425.1533,1268.5288,1185.9982,0,0,30.293089,73.703316,72.90804,61.71303,100.93367,87.74946,535.76935,1469.1318,1516.0929,340.0708,220.36758,86.25195
A502N_k141_356344_dvf_12844,0,0,82.12291,0,0,0,0,0,0,0.39201725,0,0,0,0,0,0,0,0,7.214632,19.750765,120.71953,85.158745,0.76490194,0,0,32.330517,0.6579675,1.2021245,1.2706842,7.3845778,1.6640239,15.824691,39.472923,56.691826,72.83016,0,0,1.0328685,0.16316484,0.084242165,0.2965737,0.6362676,0.32427943,104.84541,53.21721,44.54589,9.066412,2.8121953,1.3188996
A502N_k141_887536_dvf_20826,0,0,61.980034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7603214,10.505435,83.25985,112.23306,0.50711757,0,0,17.731068,0.28405142,0.54798025,0.16792883,3.5020306,0.4542427,6.64679,20.453907,28.97192,40.73637,0,0,2.38875,0.1006285,0.259773,0,0.098101184,0.19999255,106.36649,26.718279,22.78721,2.7650373,1.7658966,0.46166158
A502N_k141_593148_dvf_21207,0,0,54.437714,0,0,0,0,0,0,3.2052357,0,0,0,0,0,0.18786551,0.17304626,0.090266705,3.8435726,15.163765,80.471436,70.64082,0.49800685,0,0,228.09744,4.263922,2.975572,3.792973,3.180777,0.8260775,8.733812,321.95007,615.09436,726.6647,0,0.047020983,2.5022233,1.0870271,0.3231342,0.47898555,0.28901616,0.6606166,64.974884,145.60617,184.61702,3.1377509,1.6103015,0.9211276
A502N_k141_3116_dvf_12472,0,0,65.189926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4766068,9.980901,83.57519,80.53525,0.41355118,0,0,19.504948,0.2032778,0.26912606,0.81007624,3.5141482,0.58994734,7.464432,19.031029,33.62391,34.70263,0,0,1.5955135,0.084015764,0.05783656,0.20361303,0.21841516,0.12143696,46.861725,34.149544,28.650488,2.9754746,2.0535796,0.6730009
A502N_k141_1064642_dvf_11284,0,0,61.629383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9539478,16.213268,108.444626,118.7655,0.56592166,0,0,22.251268,0.5242515,0.23796812,0.37880725,4.8855,0.5278565,10.971603,28.158384,38.843624,41.995293,0,0,2.3513227,0.09286109,0.03196285,0,0.12070515,0.26844412,181.89394,40.119144,27.063038,3.5155475,1.9787863,1.501236
A502N_k141_417175_dvf_12063,0,0,103.2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_770221_dvf_15513,0,0,98.39642,0,0,0,0,0,0,1.9474257,0,0,0,0,0,0.7704629,1.6559366,0.49359527,11.39363,27.659704,127.22534,77.429985,1.7732432,0,0,34.35681,2.6693473,2.812804,4.4587474,15.031334,9.757038,24.821655,49.08366,55.388916,68.61153,0.18878491,0,4.7034035,2.0939329,0.83698034,0.69572043,1.492595,1.1471734,82.36969,66.24683,51.00098,10.228696,4.487383,2.1741302
A502N_k141_830059_dvf_11977,0.03444049,0,146.38623,0,0,219.38557,0,0,0,0,0,0,0,0,0,0,0,0,5.0862885,15.905058,79.106865,62.01242,0.9433131,465.19122,0,18.621681,1.411194,1.9056921,2.530668,6.1752124,2.5743327,17.539965,30.386936,33.431026,30.788332,0,0,1.6614548,0.9623688,0.7227228,0.6360846,0.9097683,0.885191,117.97319,28.276665,28.896765,5.448996,2.741606,1.2359837
A502N_k141_595302_dvf_20013,0,0,131.62912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.897118,63.943962,234.0076,122.203606,4.197203,0,0,92.94618,3.50486,6.0713916,8.2327,28.127806,8.263421,89.0417,138.08249,190.0878,184.66653,0,0,13.5889845,2.7226262,2.162607,1.8081912,3.13065,3.3866305,136.95232,156.52437,156.65955,35.679302,18.835745,6.7181973
A502N_k141_947922_dvf_15099,0,0,1004.6711,0,0,0.49089843,0,0,0,0.1667352,0,0,0,0,0,0.26386276,0.2430487,0.1267823,634.22833,571.1102,998.9267,719.44403,100.07239,0.021763744,0,924.0439,116.19405,248.62276,350.18927,554.80865,400.54175,1477.7743,1777.9432,1694.5712,1482.8506,0,0,57.768738,89.662575,77.44144,68.45227,122.0953,102.59078,922.12396,1609.8599,1785.2052,440.19806,277.06033,104.27839
A502N_k141_182965_dvf_11632,0,0,1176.8666,0,0,0,0,0,0,0,0,0,0,0,0,0.34250894,0,0,713.13696,659.44977,1182.0372,656.9043,112.09969,0,0,935.0978,127.432434,256.81918,358.55466,586.0295,416.91077,1689.9059,1725.4762,1562.7306,1480.9331,0,0.042863395,60.44589,93.68624,92.182625,75.21016,125.231995,113.898125,962.63245,1756.0151,1822.5277,527.1774,298.89087,116.282776
A502N_k141_478941_dvf_16865,0,0,65.37345,0,0,0,0,0,0,0.5971028,0,0,0,0,0,0,0,0,5.494499,15.656821,90.436905,76.35976,0.59709525,0,0,22.98616,0.6013117,1.1543394,1.0138063,5.745745,1.5789099,12.282933,34.527775,46.5468,54.345764,0,0,1.9665226,0.24852526,0.08554255,0.112931885,0.5653281,0.24696383,139.28854,37.06674,32.218475,5.3872404,2.1417038,0.9953948
A502N_k141_1011213_dvf_14128,0,0,246.00809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9332,102.127495,347.0051,299.96756,6.8147745,0.27911445,0,100.41525,6.81913,10.643617,20.050976,53.925667,29.487041,112.469925,143.31798,173.95973,169.39351,0,0,7.5119834,3.634229,4.16117,4.3139215,6.170043,5.4941454,624.165,183.70059,170.2382,48.820526,21.243134,8.555267
A502N_k141_8741_dvf_12528,0,0,91.69318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_8812_dvf_10003,0,0,120.60362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95414,45.53536,193.01927,206.78131,1.816969,0,0,42.156475,1.6896801,2.7515378,3.3796961,16.704588,4.763637,39.956097,65.0474,81.398834,86.20787,0,0,5.3048735,0.3142591,0.7571773,0.44427252,1.0212213,0.75705373,357.57687,80.21247,70.74253,19.956697,6.696579,2.9750438
A502N_k141_837145_dvf_27115,0,0,260.07834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.26989,118.42392,286.07138,164.11652,16.630648,0.024238301,0,186.75911,25.619284,51.199158,72.8449,98.76405,78.163506,263.43637,328.06314,333.46304,304.0666,0,0,8.439657,17.274075,15.349872,13.697079,21.5997,20.080582,136.89859,308.02206,337.7159,84.42967,54.66446,19.997452
A502N_k141_305294_dvf_11083,0,0,70.01762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6385741,9.700172,66.71611,35.66512,0.37673646,0,0,13.982917,0.30500534,0.4845678,0.45580032,2.687869,0.60065675,6.464865,13.991873,21.51986,23.93498,0,0,0.5984915,0,0.26034018,0.3436969,0.12289425,0.20498446,67.5276,21.941952,15.835546,2.6556134,1.2443571,0.41309792
A502N_k141_662159_dvf_29095,0,0,87.929085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_427438_dvf_26984,0,0,89.245964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_1135721_dvf_13741,0,0,83.34875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_77087_dvf_12579,0,0,195.36348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15218109,20.599257,61.400185,233.0034,165.29634,2.8897593,0,0,61.087948,1.9483037,3.8424501,5.6222987,22.647663,8.077593,51.38033,74.47023,113.512085,124.702484,0,0,7.6460514,1.9992265,1.4336147,1.362697,2.0031548,1.8060598,250.22423,117.032196,98.55869,26.85667,9.710686,4.149245
A502N_k141_845489_dvf_13235,0,0,57.161217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8248885,12.113145,80.56269,63.4823,0.35259467,0,0,18.658447,0.3831176,0.9129992,0.49912995,3.7255013,0.5029904,7.9548006,22.572786,35.922153,33.818974,0,0,1.7541203,0.07917224,0.08175341,0.09593735,0.20582348,0.05721805,39.62119,25.537035,24.505774,3.8675008,2.3321528,0.81869745
A502N_k141_19943_dvf_685282,0.00842706,0.00229177,105.20734,0,0.001113894,373.65945,0.020742858,0,0,0.007347441,0.06389993,0.017439112,0.023848075,0.0023492,0.0130528,0.005813758,0.008032735,0,0.001252049,0.01651368,0.010256589,0,0.005017701,252.91896,0.016274866,0.034223627,0,0,0,0.002997976,0,0.007823892,0.078508504,0.035725817,0.15220268,0,0,0.009679345,0.009174423,0.002631535,0.000926429,0,0,0.010957699,0.010024437,0.034830518,0,0,0.004008595
A502N_k141_257605_dvf_15092,0,0,57.61787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4446259,12.122351,81.26826,109.667885,0.45567724,0,0,14.260157,0.3919729,0.26688632,0.33472273,2.9948382,0.5339629,8.00948,16.52405,29.30428,30.637228,0,0,0.43950978,0.27772188,0.2389801,0.042066354,0.18049787,0.3010658,99.17949,26.491434,20.839226,4.578691,1.6970744,0.9100909
A502N_k141_729017_dvf_14121,0,0,362.71796,0,0,0,0,0,0,0.17828304,0,0,0,0,0,0,0,0,79.65773,176.77483,623.6744,263.49646,11.862194,0.41887918,0,189.8903,11.610235,19.966673,26.968033,70.02901,30.643019,221.59964,288.79507,406.08856,408.86295,0,0,38.048267,7.939903,6.9216943,5.6648283,12.153294,10.993738,401.30856,385.2425,371.86603,105.6641,47.06501,18.091686
A502N_k141_556712_dvf_15494,0,0,859.2948,0,0,0,0,0,0,0.16248448,0,0,0,0,0,0,0,0,216.13528,279.12735,809.3797,585.25214,41.389427,0,0,476.48026,49.143494,111.17701,166.20422,224.48683,168.76405,656.0324,825.3144,804.7359,814.11786,0,0.03217936,41.09822,35.505253,35.89462,35.279404,49.49185,45.18563,1134.2346,866.29956,871.6592,171.29297,105.83713,41.39853
A502N_k141_201941_dvf_11786,0,0,274.28464,0,0,0,0,0,0,0.21360382,0,0,0,0,0,0.3380336,0.7784219,0.6496813,33.778645,52.729164,196.43979,294.25977,3.8344007,0,0,55.560833,3.011533,4.157941,5.6049423,22.60265,8.88863,70.345665,69.86794,88.44989,101.317825,0.019114077,0,8.1605015,2.2226467,2.0502975,1.1311873,2.2534971,2.5058503,586.57654,101.76704,83.508736,26.16646,12.147116,4.104704
A502N_k141_84455_dvf_17375,0,0,90.00571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.777657,22.524502,118.12188,88.97325,0.5937048,0.1513028,0,26.413803,0.7295771,0.77272874,0.9840486,5.79387,1.6938874,12.567609,28.232155,41.680637,48.827374,0,0,1.9088004,0.12061521,0.16606332,0.14615607,0.4311484,0.37046835,95.295525,49.302727,32.202076,6.112905,1.8520571,0.8695598
A502N_k141_323776_dvf_10864,0.037968867,0,91.852425,0,0,0,0,0,0,0,0,0,0,0.098788925,0,0,0,0.35240903,81.109436,133.41849,319.60202,96.77499,19.555658,0.78643954,0,176.38391,18.980377,35.653973,49.431858,93.76557,52.11727,413.47778,410.50644,406.28818,455.5408,0,0,27.7803,12.924445,9.1959915,9.9343815,13.164017,13.034933,512.404,277.27402,315.72867,56.77428,44.007298,20.46722
A502N_k141_974530_dvf_17896,0,0,55.909588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2122517,15.229084,80.1603,59.40408,0.6313177,0,0,17.499126,0.23611239,0.45013952,0.39084554,3.9031963,0.50903475,9.151299,21.114727,28.066673,36.024796,0,0,1.85323,0.11710378,0.100767985,0.07095054,0.076108456,0.21157824,48.813164,30.324972,23.458248,2.8602128,1.8348353,0.6992733
A502N_k141_565901_dvf_10424,0,0,80.41574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.374739,14.294028,90.55531,57.745525,0.6597353,0,0,20.337229,0.3242876,0.25760096,0.7455628,3.7118485,0.5714057,9.071243,25.988214,34.01745,44.672115,0,0,3.499803,0,0.3805983,0.1218084,0.06533178,0.14529563,51.146114,34.79596,25.92846,4.664913,1.2600236,0.9516298
A502N_k141_150045_dvf_13243,0,0,542.2566,0,0,0.09328294,0,0,0,0,0,0,0,0,0,0,0,0,278.59467,246.60281,478.1482,286.07703,42.526905,0,0,412.80756,49.39231,105.99602,150.96896,245.11404,179.96178,682.1169,765.33826,709.4216,647.6297,0,0,20.786291,36.713726,35.67742,30.154068,48.802124,46.118477,293.24652,817.31396,819.2282,184.07846,115.495804,47.91673
A502N_k141_448302_dvf_11680,0,0,356.7489,0,0,0,0,0,0,0.4310847,0,0,0,0,0,0,0,0,53.405045,72.98901,264.47726,270.19647,8.137935,0,0,96.22404,11.576623,21.265753,32.40446,55.641594,42.98663,122.14603,170.80888,161.66891,154.05911,0,0,6.530859,8.253571,6.608144,7.392268,9.212408,8.88249,365.2764,186.91338,183.79977,39.989353,21.815842,8.074855
A502N_k141_680484_dvf_762977,0.002703186,0.004116791,58.740116,0,0,209.09198,0.00414013,0,0,0.003299621,0.00220742,0.003915816,0.010709796,0.009846563,0.010160466,0.007832603,0.002404917,0,0.002249103,0.004944023,0.006448504,0.002365623,0.001931461,138.93332,0,0.027122285,0,0,0.000509304,0,0.000459218,0.005110672,0.065536425,0.042438716,0.08288333,0.000295263,0,0,0,0.000945425,0.00083209,0.001785161,0.000496267,0.003280621,0.011704725,0.014721732,0.003354385,0.001721479,0.002600285
A502N_k141_1096843_dvf_12863,0,0,1298.1312,0,0,0.12805161,0,0,0,0.39143816,0,0,0,0,0,0,0.2852983,0.1488211,689.8473,613.4221,1000.6123,802.9721,111.644394,0,0,1028.9014,136.1295,286.1005,408.43512,620.8524,494.8743,1826.4352,1857.7522,1645.3182,1572.6979,0,0.03876133,54.919003,96.369446,96.03441,73.63906,128.28326,119.21743,975.78204,1966.2883,1993.0358,434.14703,275.39227,110.078156
A502N_k141_1098309_dvf_19214,0,0,97.371216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.856806,34.798485,128.36243,234.46806,5.2793245,0.017102674,0,47.627796,7.4331627,10.691177,15.026564,21.3672,13.621748,68.9495,107.85195,133.7487,118.869675,0,0,2.4165487,4.7445865,3.9419405,3.8328505,6.486228,5.83312,787.2312,80.730095,93.16928,32.234573,15.620017,5.8458695
A502N_k141_35956_dvf_18071,0,0,125.61386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.579211,31.467848,158.06796,198.5597,1.8076551,0,0,45.67804,1.7303115,2.4889405,3.978123,10.686687,4.672668,30.775345,54.07944,70.404945,77.57811,0,0,5.8729067,1.4496217,1.1775473,1.1242152,1.432057,1.4038464,197.37863,69.26208,61.146683,10.905181,4.942422,2.3984199
A502N_k141_98655_dvf_17776,0,0,114.76535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10768935,32.435898,40.213055,141.11879,408.482,5.2366223,0.018486204,0,55.30939,10.50662,12.009225,16.832373,23.018661,16.359653,83.603195,123.09274,145.19037,124.42,0,0,7.089814,4.715772,5.0927014,5.464357,7.125868,5.9854836,1315.5171,89.73409,100.70626,34.626244,17.216106,6.6364303
A502N_k141_514073_dvf_15186,0,0,37.5706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_1160085_dvf_13988,0,0,62.46566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.189616,10.4498,72.75875,79.355385,0.35117248,0,0,15.615764,0.30207804,0.09598343,0.3333606,2.9374592,0.30057696,5.679779,18.914192,24.954937,35.110214,0,0,0.711297,0.07491025,0.025784157,0,0.09737182,0.10827579,57.61926,26.028524,20.928146,2.104101,1.2676263,0.6764335
A502N_k141_869161_dvf_11380,0,0,60.90814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.543613,14.999204,81.403946,54.401234,0.30215645,0,0,18.34589,0.29704517,0.23596066,0.81951636,3.5203822,0.8004996,9.122982,26.25227,31.29854,38.898636,0.039592,0,2.622923,0,0.063386425,0.05578782,0,0.13308978,28.483604,29.458244,25.97109,3.9356833,1.3272986,0.6437067
A502N_k141_224446_dvf_24534,0,0,44.72066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_1051488_dvf_10994,0,0,88.473694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2580156,20.157843,97.36806,62.221485,1.0946782,0,0,25.180593,0.92242336,0.61061317,1.0250167,6.4470468,1.6890799,15.517143,26.310408,35.198986,43.924767,0,0,1.5083412,0.09531058,0.4920895,0.17323962,0.30972278,0.34440646,113.267365,42.739525,32.949158,4.7722425,2.3893917,1.1105121
A502N_k141_523100_dvf_11429,0,0,106.29098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.954803,23.268736,121.02892,123.25984,1.0315235,0.2300189,0,29.935734,1.0352008,1.2922196,1.5640055,6.9506583,2.3605466,15.523605,32.951546,48.854095,51.307144,0,0,2.3214912,0.45841482,0.41024533,0.22219457,0.83421636,0.72885555,150.89626,49.22718,35.994797,7.501721,2.5857549,1.4421306
A502N_k141_1110891_dvf_12434,0,0,64.621315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1391516,10.845687,67.381035,77.22496,0.49382746,0,0,13.240286,0.13593268,0.4319177,0.25001597,2.7262805,0.5353931,6.468038,18.122005,24.898031,28.13757,0,0,1.8671211,0,0,0.30635294,0.27385333,0.03045202,119.97833,21.823053,20.381994,4.0137296,1.2147868,0.58914125
A502N_k141_699909_dvf_23694,0,0,109.48741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.844065,21.572119,131.65012,115.901886,1.0054939,0,0,30.238085,1.3553455,1.3032908,2.230433,7.0811515,2.3364084,19.13128,36.730885,50.69681,60.51928,0,0,2.799477,0.48646453,0.5023242,0.4019153,0.747298,0.5752956,121.855934,50.418564,44.5615,7.831122,3.8526497,1.6553271
A502N_k141_288016_dvf_15566,0,0,1264.3221,0,0.5884605,0.039680906,0.608793,0,0.12929922,25.715534,0,0,0,0,0,6.1427164,11.198454,5.2880826,634.548,605.10876,1260.9229,1108.7953,101.803665,0.08444321,0.30706683,1067.6682,144.90263,293.9938,426.45752,565.3304,496.29733,1427.3645,1943.0803,1900.3524,1711.0835,12.706831,3.5553873,112.923454,105.48454,91.22144,90.29886,137.24493,121.86744,1322.5934,1885.1808,2047.6602,415.8934,260.14145,101.37539
A502N_k141_291658_dvf_10067,0,0,59.10284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4944153,9.929737,67.86385,51.814903,0.29277048,0,0,13.566931,0.67157525,0.40010417,0.50180143,1.8707201,0.6612773,5.3258886,17.415934,25.574509,38.750866,0,0,1.9766805,0.20817415,0.14330736,0.25225607,0.0676486,0.11283613,71.359085,24.49761,23.151993,2.4151711,0.97853035,0.4093104
A502N_k141_1177389_dvf_58188,0,0,57.886337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_2820628_dvf_12103,1.0906222,0,0,40.148052,0.3784176,0,0,0,4.8225627,0,3.0150566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6582118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_1975325_dvf_62887,0.20333785,0.28719524,0,78.077705,0.15779585,0,0.20092064,0,0.32004577,0.1601307,0.9730625,0.34047875,0.1136946,0.04266553,0.20861404,0.12670548,0.14588834,0.21308063,0,0.17995018,0.02235329,0.043051403,0,0,0,0,0.053753145,0.053374153,0.049433094,0,0.005571462,0,0,0,0,0,0,0,0.01666234,0.011470377,0.010095337,0.010829241,0,0,0,0,0.06104565,0,0.002426768
A502S_k141_284664_dvf_10909,0.3403102,0.9717602,0,34.591354,3.4986312,0,0.8686838,0,2.7674468,0.9231037,1.9555719,2.6474361,1.6853504,3.344968,3.662449,0.9130222,0.33640042,0,0.15730254,0,0,0,0,0,1.7526088,0,0.1549351,0.4922967,0.07124161,0,0,0,0,0,0,0,0,3.0401876,0.5763193,0,0.7565542,0,0.034708995,0,0,0,0,0.96320367,0
A502S_k141_567137_dvf_41522,0.45697978,0.4066029,0,77.2046,0.5331297,0,0.07607592,0,0.5331966,0.060631346,1.4467071,0.43172446,0.7625812,0.2972471,0.54574156,0.33582735,0.44190937,0.09220587,0,0,0.1354204,0.043468904,0,0,0.1534866,0,0.061058726,0.14550774,0.065510124,0,0,0,0,0,0,0,0,1.1182401,0.10094356,0.043431047,0.19876812,0,0.04559516,0,0,0,0.061637655,0.015816297,0.003675452
A502S_k141_5365330_dvf_13419,0.98366505,0.5266627,0,42.09911,0.11376875,0,0.5884984,0,5.6994953,0,1.5479492,1.076119,0.1522343,0.91976255,0.53326464,0.44534585,1.7776024,0.4279647,0,0,0,0.7397747,0,0,6.292807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07808664,0.10750989,0.18924373,0.10150063,0.11286696,0,0,0,0.095361754,0.048939884,0
A502S_k141_2835057_dvf_19661,0.06294092,0,0,46.048607,0,0,0.080332235,0,0.10236874,4.737744,0.14277084,0.07597979,0,0,0,7.2949643,8.306075,10.418015,7.026046,2.2543647,0.035749234,0,0,0,2.0259237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_2272010_dvf_17652,0,0,0,67.77238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_1712352_dvf_27439,2.2700012,5.3945265,0,77.13287,4.0059667,0,4.2595024,0.057737082,14.596804,1.192753,6.6290584,5.716428,9.678493,5.045677,5.4549046,1.8149639,2.1398985,5.7905073,0.25015685,0.7217436,0.25615573,0.7564609,0.008951128,0,3.716211,0,0.40038687,0.61163676,0.2265898,0,0.12769145,0,0,0,0,0,0,0.7252175,1.3365853,1.0384065,1.5270643,1.2657875,0.74516505,0,0,0,0.18654606,0.16753782,0.005561869
A502S_k141_5096218_dvf_14822,0,0,0,95.80851,41.354416,4.250617,0,0,269.40634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_5104541_dvf_19024,33.608356,14.859729,0,63.350487,73.38799,0,175.42566,0,27.824467,3.7053707,31.221872,32.325672,26.040094,21.240326,43.570713,2.0942304,5.208389,7.9493585,1.0373294,0.69399786,0.6280864,1.9449524,0.07746322,0,38.776436,0,2.3099694,1.0233355,1.123439,0.8099475,0.34993052,0.07686328,0,0,0.17268158,0,0,14.1210985,2.4235263,1.2891861,2.4695141,2.9354246,0.37816277,0,0.07222,0,1.2780449,0.31068745,0.024066254
A502S_k141_3132200_dvf_24559,0,0.2877677,0,59.927788,0.031081533,0,1.0289748,0,0,0,0,0.2635816,1.3308893,0.21850297,0.24281248,0,0,0,0.17468275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_5107605_dvf_24652,0.4350494,0.5096571,0,57.87441,0.1548214,0,0.32034156,0,0.48986006,0.3063688,0.7287406,0.6059706,0,0.19591078,0.14513788,0.24241827,0.07443193,0.31060943,0,0.15301703,0.05702301,0,0,0,0.1292607,0,0.03428093,0.1633883,0.031525828,0,0,0,0,0,0,0,0,0.5381374,0.12751637,0,0.1287655,0.19337697,0.04607826,0,0,0,0,0,0
A502S_k141_327814_dvf_21975,0,0,0,73.46033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_1736417_dvf_36462,2.1947174,2.0890145,0,60.29343,1.465449,0,3.0321662,0,1.8215722,0.89759064,2.894626,2.0894568,1.3726451,2.884587,3.0092552,1.0380288,0.85549974,1.1550188,0.14118919,0.41381994,0.07710665,0.14850384,0.013472109,0,4.063789,0,0.023177376,0.05523351,0.031971972,0,0,0,0,0,0,0,0,0.8186293,0.7184497,0.23739922,0.5049393,0.26148477,0.05192261,0,0.037680686,0,0.10528709,0.12607838,0
A502S_k141_1736622_dvf_21241,0,0.31423476,0,60.24975,0,0,0,0,0,0,0.052860364,0,0,0.45474252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502S_k141_3715744_dvf_14707,0.028047446,0.13348307,0,38.914303,0,0,0,0,0.27370256,0,0,0,0,0.2554124,0.12164069,0,0,0,0,0,0,0,0.033400428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14249603,0,0,0,0,0,0,0,0,0,0
A502S_k141_5130432_dvf_10932,20.979378,29.163301,0,44.92144,35.47131,0,40.453293,0,57.44178,8.520744,46.526855,9.109883,19.24732,20.322107,22.910332,8.382133,5.8746214,11.382051,4.159747,2.7604651,1.1572978,0.24765584,0.38194022,0,26.379566,0,5.25671,4.359941,1.1730133,0.21925254,0.48075268,0.26751682,0,0,0,0,0,58.85555,18.786821,8.445957,12.950512,5.1082616,1.7317985,0,0.06283906,0,1.7558444,3.0036786,0.18148167
A502S_k141_2605430_dvf_44137,7.046702,24.53419,0,34.282364,13.489781,0,38.396564,0.00163154,69.49525,0.22815639,14.831015,0.32717314,0.20827751,0.09726469,0.8376654,0.31593046,0.24943645,0.9541721,0.077758506,0.06409887,0.015924636,0.49072182,0,0,53.750263,0,0.09573527,0.25856397,0.16727825,0,0.031753182,0,0,0,0,0,0,0.07514196,0.59351826,0.40857872,0.5897429,0.35488194,0.1286813,0,0,0,0,0.014879224,0
A502S_k141_2610191_dvf_23308,1.5396842,4.1102204,0,63.11258,13.820399,0.13250236,111.334045,0,20.292511,1.4041508,5.178555,5.362301,3.4619815,1.496499,3.4539053,0.51279354,0.47234324,0.32851997,0.07362337,0.08092019,0,0,0,0.16918351,110.26001,0,2.1392019,2.0449147,0.51682717,0.029381312,0.24051657,0,0,0,0,0,0,0.28458387,0.8092158,0.061896134,0.21790472,0.49670988,0,0,0,0,0,0,0.013095257
