,A5S03,A5S04,A502N,A502S,A505S,A506N,A506S,A509N,A509S,KW01,KW1S05,KW1S08,KW1S11,KW1S15,KW1S21,KW12,KW23,KW34,KW45,KW56,KW67,KW78,KW89,KW101N,KW101S,KW910,PRZ12,PRZ23,PRZ34,PRZ45,PRZ56,PRZ67,PRZ78,PRZ89,PRZ910,PRZ1015,PRZ1520,WS01,WS12,WS23,WS34,WS45,WS56,WS67,WS78,WS89,WS910,WS1015,WS1520
KW1S15_k141_1555299_flag=1_multi=7.4422_len=20266_vibrant_20266,0.02035398,0,0,0,0.037665617,0,0.07793408,0,1.5890036,1.3664701,0.055403482,1.0565325,0.15120143,41.70427,0.117699236,0.7863542,0,1.511328,0.04233725,0,0,0,0,0,0.1572355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S15_k141_5380166_flag=1_multi=7.0000_len=15957_vibrant_15957,0.155102,0.04921064,0,0.04627862,0.3348574,0,0,0,0.25226194,0.15776992,0,0.49928805,0.76812637,37.799244,0.1121119,0,0,0,0,0,0,0,0,0,0.39939025,0,0,0,0,0.021458283,0,0,0,0,0,0,0,0,0,0.045205086,0,0,0,0,0,0,0,0,0
KW1S15_k141_1511318_flag=1_multi=7.0000_len=10181_vibrant_10181,0,0,0,0,0,0,0,0,0,1.4836664,0,3.8638399,0.20065142,31.835712,0,4.50022,2.5231848,2.256304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S15_k141_11383833_flag=1_multi=5.7996_len=14515_vibrant_14515,0.0568369,0.10819899,0,0,0.10517829,0,0,0,0,0,0,0.068611264,0,28.762762,0.04108324,0,0,0.1318833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22849058,0,0.04969601,0,0,0,0,0,0,0,0,0
KW1S15_k141_1374331_flag=1_multi=6.0000_len=18149_vibrant_18149,0,0,0,0,0,0,0.6091732,0,0,0,0,0.24692908,1.0130303,38.940464,0,0,0,0,0,0,0,0,0,0,2.7214334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW1S15_k141_1537919_flag=1_multi=7.0000_len=14389_vibrant_14389,0,0,0,0,0,0,0,0,0,0,0,0,0,39.717968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10026236,0.08824316,0,0,0,0,0,0,0,0
KW1S15_k141_11804006_flag=0_multi=7.5475_len=14822_vibrant_14822,0.08348949,0.026489483,0,0.19928968,0,0,0.53279316,0,0.543158,0.16985121,0.26513457,0.5711163,0.895858,55.175488,0.2816261,0.26879394,0.12379545,0.5166067,0,0,0,0,0,0,0.21498685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085665286,0,0,0,0,0,0,0,0
KW1S15_k141_5556766_flag=1_multi=8.0000_len=28453_vibrant_28453,0.07248687,0,0,0,0,0,0.22203805,0,0.14147344,0.35392186,0.09865454,0.4725178,0.394882,44.358547,0.5029964,0.07001132,0.32244334,1.0091832,0.06031046,0,0.12351345,0,0.025896395,0,0.11199294,0,0,0,0,0,0,0,0,0,0,0,0,1.0490586,0.07365442,0.050703797,0,0,0,0,0,0,0,0,0
KW1S15_k141_9245969_flag=1_multi=9.0000_len=14418_vibrant_14418,3.0612311,0.21785386,0,0.51218474,0.90003,0.49980476,1.3145335,0,0.97716063,0.34922108,2.2973232,0.75980145,0.8501173,41.27571,0.8271927,0.2763257,0.50905704,0.13277057,0.17852823,0,0,0,0,0,0,0,0,0,0.026951544,0,0,0,0,0,0,0,0,1.150139,0,0.025015175,0,0,0,0,0,0,0,0.04554892,0
KW1S15_k141_2235373_flag=1_multi=8.0000_len=17539_vibrant_17539,0.16463062,0,0,0.042104334,0,0.21130268,0.45025715,0,0,0,0.032008868,0,0,38.58143,0.033999838,0.22715455,0,0,0,0,0,0.05145435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56728554,0,0,0,0,0.04317697,0,0,0,0,0,0
